,Unnamed: 0,title,date,geo,rating
8,8,Friv Juegos,2011,AR,9
9,9,Mercadolibre,2011,AR,10
0,0,Facundo Arana,2012,AR,1
1,1,Sean Penn,2012,AR,2
2,2,Viggo Mortensen,2012,AR,3
3,3,Eugenia Suarez,2012,AR,4
4,4,Frankie Muniz,2012,AR,5
5,5,Amanda Bynes,2012,AR,6
6,6,Juan Gil Navarro,2012,AR,7
7,7,Carina Zampini,2012,AR,8
8,8,Jonathan Lipnicki,2012,AR,9
9,9,Erica Rivas,2012,AR,10
0,0,Elecciones 2013,2013,AR,1
1,1,Meteorito en Rusia,2013,AR,2
2,2,Cosquín Rock 2013,2013,AR,3
3,3,Tomorrowland 2013,2013,AR,4
4,4,Volcán Copahue,2013,AR,5
5,5,Salón del Automóvil,2013,AR,6
6,6,Lollapalooza,2013,AR,7
7,7,Caso Ángeles,2013,AR,8
8,8,Jesus María 2013,2013,AR,9
9,9,Ultra Buenos Aires,2013,AR,10
0,0,Cyber Monday,2014,AR,1
1,1,Halloween,2014,AR,2
2,2,Hot Sale,2014,AR,3
3,3,San Valentín,2014,AR,4
4,4,Paro docente,2014,AR,5
5,5,25 de mayo,2014,AR,6
6,6,Eclipse lunar,2014,AR,7
7,7,Ice Bucket Challenge,2014,AR,8
8,8,Paro de colectivos,2014,AR,9
9,9,Black Friday,2014,AR,10
0,0,Padrón electoral,2015,AR,1
1,1,Copa América,2015,AR,2
2,2,Dubsmash,2015,AR,3
3,3,Gran hermano 2015,2015,AR,4
4,4,Las mil y una noches,2015,AR,5
5,5,Feriados 2015,2015,AR,6
6,6,Gran DT,2015,AR,7
7,7,Dakar 2015,2015,AR,8
8,8,Conmebol,2015,AR,9
9,9,Nisman,2015,AR,10
0,0,Juegos Olímpicos Río 2016,2016,AR,1
1,1,Pokémon GO,2016,AR,2
2,2,Copa América 2016,2016,AR,3
3,3,Slither.io,2016,AR,4
4,4,Juan Martín del Potro,2016,AR,5
5,5,Dakar 2016,2016,AR,6
6,6,Donald Trump,2016,AR,7
7,7,Copa Davis,2016,AR,8
8,8,David Bowie,2016,AR,9
9,9,Elecciones EE.UU.,2016,AR,10
0,0,Padrón electoral,2017,AR,1
1,1,ARA San Juan,2017,AR,2
2,2,Santiago Maldonado,2017,AR,3
3,3,Rocío Gancedo,2017,AR,4
4,4,Fixture Mundial 2018,2017,AR,5
5,5,Huracán Irma,2017,AR,6
6,6,Feriados,2017,AR,7
7,7,Spinner,2017,AR,8
8,8,13 Reasons Why,2017,AR,9
9,9,Despacito,2017,AR,10
0,0,Mundial 2018,2018,AR,1
1,1,Dólar,2018,AR,2
2,2,Débora Pérez Volpin,2018,AR,3
3,3,Stan Lee,2018,AR,4
4,4,Juan Martín del Potro,2018,AR,5
5,5,Momo,2018,AR,6
6,6,Pity Álvarez,2018,AR,7
7,7,Superliga,2018,AR,8
8,8,La casa de papel,2018,AR,9
9,9,Luis Miguel,2018,AR,10
0,0,Copa América,2019,AR,1
1,1,Dónde voto,2019,AR,2
2,2,Cyber Monday,2019,AR,3
3,3,Natacha Jaitt,2019,AR,4
4,4,Cameron Boyce,2019,AR,5
5,5,Sergio Denis,2019,AR,6
6,6,Elecciones 2019,2019,AR,7
7,7,Colón,2019,AR,8
8,8,Emiliano Sala,2019,AR,9
9,9,Thanos,2019,AR,10
0,0,Coronavirus,2020,AR,1
1,1,Google Classroom,2020,AR,2
2,2,Trámites a distancia,2020,AR,3
3,3,Elecciones Estados Unidos,2020,AR,4
4,4,Permiso para circular,2020,AR,5
5,5,Zoom,2020,AR,6
6,6,Hot Sale,2020,AR,7
7,7,Ingreso Familiar de Emergencia,2020,AR,8
8,8,Diego Maradona,2020,AR,9
9,9,Mi ANSES,2020,AR,10
0,0,YouTube,2008,AT,1
1,1,Wetter,2008,AT,2
2,2,Google,2008,AT,3
3,3,ORF,2008,AT,4
4,4,eBay,2008,AT,5
5,5,Wikipedia,2008,AT,6
6,6,Herold,2008,AT,7
7,7,Routenplaner,2008,AT,8
8,8,Immobilien,2008,AT,9
9,9,GMX,2008,AT,10
0,0,Windows 7,2009,AT,1
1,1,Facebook,2009,AT,2
2,2,YouTube,2009,AT,3
3,3,kino.to,2009,AT,4
4,4,Wants to have,2009,AT,5
5,5,wetter.at,2009,AT,6
6,6,Orange,2009,AT,7
7,7,gmx.at,2009,AT,8
8,8,ebay.at,2009,AT,9
9,9,Google Maps,2009,AT,10
0,0,2012,2011,AT,1
1,1,iPhone 5,2011,AT,2
2,2,Song Contest 2011,2011,AT,3
3,3,Samsung Galaxy S2,2011,AT,4
4,4,Google+,2011,AT,5
5,5,Amy Winehouse,2011,AT,6
6,6,Die Große  Chance,2011,AT,7
7,7,Fukushima,2011,AT,8
8,8,Spritpreisrechner,2011,AT,9
9,9,Alexandra Stan,2011,AT,10
0,0,Claudia Kottal,2012,AT,1
1,1,Maria Hofstätter,2012,AT,2
2,2,Johannes Silberschneider,2012,AT,3
3,3,Andreas Lust,2012,AT,4
4,4,Michael Maertens,2012,AT,5
5,5,Dörte Lyssewski,2012,AT,6
6,6,Katharina Straßer,2012,AT,7
7,7,Manuel Rubey,2012,AT,8
8,8,Maria Bill,2012,AT,9
9,9,Adele Neuhauser,2012,AT,10
0,0,Django Unchained,2013,AT,1
1,1,World War Z,2013,AT,2
2,2,Hangover 3,2013,AT,3
3,3,Feuchtgebiete,2013,AT,4
4,4,Rush,2013,AT,5
5,5,Tribute von Panem,2013,AT,6
6,6,Pitch Perfect,2013,AT,7
7,7,Oblivion,2013,AT,8
8,8,Ich einfach unverbesserlich,2013,AT,9
9,9,Gravity,2013,AT,10
0,0,Fußball WM,2014,AT,1
1,1,Conchita Wurst,2014,AT,2
2,2,iPhone 6,2014,AT,3
3,3,Michael Schumacher,2014,AT,4
4,4,Robin Williams,2014,AT,5
5,5,Ebola,2014,AT,6
6,6,Donauinselfest,2014,AT,7
7,7,Dschungelcamp,2014,AT,8
8,8,Peaches Geldof,2014,AT,9
9,9,Olympia,2014,AT,10
0,0,Donauinselfest,2015,AT,1
1,1,Sonnenfinsternis,2015,AT,2
2,2,iPhone 6S,2015,AT,3
3,3,Wien-Wahl,2015,AT,4
4,4,Paris,2015,AT,5
5,5,Ena Kadic,2015,AT,6
6,6,Song Contest,2015,AT,7
7,7,Charlie Hebdo,2015,AT,8
8,8,Germany's Next Top Model,2015,AT,9
9,9,Pegida,2015,AT,10
0,0,Uefa Euro 2016,2016,AT,1
1,1,Pokemon Go,2016,AT,2
2,2,David Bowie,2016,AT,3
3,3,Bundespräsidentenwahl,2016,AT,4
4,4,Hannes Arch,2016,AT,5
5,5,Donald Trump,2016,AT,6
6,6,Brexit,2016,AT,7
7,7,Alexander Van der Bellen,2016,AT,8
8,8,Rio 2016,2016,AT,9
9,9,Dschungelcamp,2016,AT,10
0,0,Nationalratswahl,2017,AT,1
1,1,iPhone 8,2017,AT,2
2,2,Donauinselfest,2017,AT,3
3,3,iPhone X,2017,AT,4
4,4,Dschungelcamp,2017,AT,5
5,5,Chester Bennington,2017,AT,6
6,6,Falco,2017,AT,7
