,Unnamed: 0,title,date,geo,rating
4,4,BSI Sicherheitstest,2014,DE,5
5,5,Robin Williams,2014,DE,6
6,6,Dschungelcamp 2014,2014,DE,7
7,7,Conchita Wurst,2014,DE,8
8,8,Kicktipp,2014,DE,9
9,9,Ebola,2014,DE,10
0,0,Sonnenfinsternis,2015,DE,1
1,1,Pegida,2015,DE,2
2,2,Flugzeugabsturz,2015,DE,3
3,3,Dschungelcamp,2015,DE,4
4,4,Paris,2015,DE,5
5,5,iPhone 6s,2015,DE,6
6,6,Griechenland,2015,DE,7
7,7,Charlie Hebdo,2015,DE,8
8,8,Helmut Schmidt,2015,DE,9
9,9,Windows 10,2015,DE,10
0,0,EM 2016,2016,DE,1
1,1,Pokemon Go,2016,DE,2
2,2,iPhone 7,2016,DE,3
3,3,Brexit,2016,DE,4
4,4,Olympia,2016,DE,5
5,5,Tamme Hanken,2016,DE,6
6,6,Dschungelcamp,2016,DE,7
7,7,Nico Rosberg,2016,DE,8
8,8,David Bowie,2016,DE,9
9,9,Donald Trump,2016,DE,10
0,0,WM Auslosung,2017,DE,1
1,1,Bundestagswahl,2017,DE,2
2,2,Wahlomat,2017,DE,3
3,3,iPhone 8,2017,DE,4
4,4,Dschungelcamp,2017,DE,5
5,5,Confed Cup,2017,DE,6
6,6,Chester Bennington,2017,DE,7
7,7,iPhone X,2017,DE,8
8,8,Trump,2017,DE,9
9,9,Handball WM,2017,DE,10
0,0,WM,2018,DE,1
1,1,Daniel Küblböck,2018,DE,2
2,2,Jens Büchner,2018,DE,3
3,3,Avicii,2018,DE,4
4,4,Medaillenspiegel,2018,DE,5
5,5,Olympia,2018,DE,6
6,6,Meghan Markle,2018,DE,7
7,7,Mondfinsternis,2018,DE,8
8,8,Euro Lira,2018,DE,9
9,9,Hochzeit Harry Meghan,2018,DE,10
0,0,Rebecca Reusch,2019,DE,1
1,1,Notre Dame,2019,DE,2
2,2,Handball WM,2019,DE,3
3,3,Karl Lagerfeld,2019,DE,4
4,4,Julen,2019,DE,5
5,5,Europawahl,2019,DE,6
6,6,Frauen WM,2019,DE,7
7,7,30 Jahre Mauerfall,2019,DE,8
8,8,Thomas Cook,2019,DE,9
9,9,Greta Thunberg,2019,DE,10
0,0,Coronavirus,2020,DE,1
1,1,US Wahl,2020,DE,2
2,2,Wetter morgen,2020,DE,3
3,3,Wirecard,2020,DE,4
4,4,Biontech Aktie,2020,DE,5
5,5,Kobe Bryant,2020,DE,6
6,6,iPhone 12,2020,DE,7
7,7,Disney Plus,2020,DE,8
8,8,PS5,2020,DE,9
9,9,Joe Biden,2020,DE,10
0,0,Paradise Hotel,2008,DK,1
1,1,Lost,2008,DK,2
2,2,X-Factor,2008,DK,3
3,3,MGP,2008,DK,4
4,4,Vild Med Dans,2008,DK,5
5,5,Klovn,2008,DK,6
6,6,Indiana Jones,2008,DK,7
7,7,Rejsen Til Saturn,2008,DK,8
8,8,Anna Pihl,2008,DK,9
9,9,Flame & Citron,2008,DK,10
0,0,Telenor,2009,DK,1
1,1,Robert pattinson,2009,DK,2
2,2,Atp,2009,DK,3
3,3,Dmi byvejr,2009,DK,4
4,4,Facebook,2009,DK,5
5,5,Bt.dk nyheder,2009,DK,6
6,6,Twitter,2009,DK,7
7,7,Oversættelse dansk engelsk,2009,DK,8
8,8,Nokia 5800,2009,DK,9
9,9,Skat.dk tastselv,2009,DK,10
0,0,iPhone 5,2011,DK,1
1,1,Minecraft,2011,DK,2
2,2,Valg 2011,2011,DK,3
3,3,Google+,2011,DK,4
4,4,iPad 2,2011,DK,5
5,5,Roskilde Festival 2011,2011,DK,6
6,6,Moviestarplanet,2011,DK,7
7,7,Paradise Hotel 2011,2011,DK,8
8,8,Facebook.Dk,2011,DK,9
9,9,Viaplay,2011,DK,10
0,0,Shaka Loveless,2012,DK,1
1,1,Nikoline Simone,2012,DK,2
2,2,Sharin Foo,2012,DK,3
3,3,Frederik Fetterlein,2012,DK,4
4,4,Joakim Ingversen,2012,DK,5
5,5,Mærsk McKinney Møller,2012,DK,6
6,6,Kasper Winding,2012,DK,7
7,7,Dicte,2012,DK,8
8,8,Anders Matthesen,2012,DK,9
9,9,Christiane Schaumburg-Müller,2012,DK,10
0,0,Hvad er lockout?,2013,DK,1
1,1,Hvad er GGGI?,2013,DK,2
2,2,Hvad er Airdrop?,2013,DK,3
3,3,Hvad er halalslagtning?,2013,DK,4
4,4,Hvad er nori?,2013,DK,5
5,5,Hvad er Instagram?,2013,DK,6
6,6,Hvad er stenalderkost?,2013,DK,7
7,7,Hvad er monogami?,2013,DK,8
8,8,Hvad er globalisering?,2013,DK,9
9,9,Hvad er selskabsskat?,2013,DK,10
0,0,Hvad er ebola?,2014,DK,1
1,1,Hvad er patentdomstol?,2014,DK,2
2,2,Hvad er ALS?,2014,DK,3
3,3,Hvad er robinsonlisten?,2014,DK,4
4,4,Hvad betyder supination?,2014,DK,5
5,5,Hvad gør bagepulver?,2014,DK,6
6,6,Hvad koster pas?,2014,DK,7
7,7,Hvad er æstetik?,2014,DK,8
8,8,Hvad betyder nokkefår?,2014,DK,9
9,9,Hvad er rysteribs?,2014,DK,10
0,0,Nikita Klæstrup,2015,DK,1
1,1,Søs Egelind,2015,DK,2
2,2,Ena Spottag,2015,DK,3
3,3,Helle Thorning-Schmidt,2015,DK,4
4,4,Nicole Brøggler,2015,DK,5
5,5,Sharin Foo,2015,DK,6
6,6,Cecilie Lassen,2015,DK,7
7,7,Charlotte Juul,2015,DK,8
8,8,Johanne Schmidt-Nielsen,2015,DK,9
9,9,Ida Auken,2015,DK,10
0,0,Pokemon Go,2016,DK,1
1,1,EM,2016,DK,2
2,2,iPhone 7,2016,DK,3
3,3,slither.io,2016,DK,4
4,4,SKAM,2016,DK,5
5,5,David Bowie,2016,DK,6
6,6,Donald Trump,2016,DK,7
7,7,OL,2016,DK,8
8,8,Tour de France,2016,DK,9
9,9,Prince,2016,DK,10
0,0,Peter Madsen,2017,DK,1
1,1,Caroline Wozniacki,2017,DK,2
2,2,Prins Henrik,2017,DK,3
3,3,Søren Huss,2017,DK,4
4,4,Christian Eriksen,2017,DK,5
5,5,Lise Nørgaard,2017,DK,6
6,6,Caroline Henderson,2017,DK,7
7,7,Nadia Nadim,2017,DK,8
8,8,Maria Gerhardt,2017,DK,9
9,9,Gina Jaqueline,2017,DK,10
0,0,VM,2018,DK,1
1,1,Kim Larsen,2018,DK,2
2,2,Momo,2018,DK,3
3,3,Prins Henrik,2018,DK,4
4,4,Avicii,2018,DK,5
5,5,Fortnite,2018,DK,6
6,6,Håndbold-EM,2018,DK,7
7,7,XXXTentacion,2018,DK,8
8,8,Meghan Markle,2018,DK,9
9,9,Britta Nielsen,2018,DK,10
0,0,Brownie,2019,DK,1
1,1,Campingplads i Danmark,2019,DK,2
2,2,Cookies,2019,DK,3
3,3,Film på Netflix,2019,DK,4
4,4,Podcast,2019,DK,5
5,5,Restauranter København,2019,DK,6
6,6,Støvsuger,2019,DK,7
7,7,Pizza København,2019,DK,8
8,8,Boller,2019,DK,9
9,9,Burger,2019,DK,10
0,0,Romkugler,2020,DK,1
1,1,Kanelsnegle,2020,DK,2
2,2,Støvsuger,2020,DK,3
3,3,Film på Netflix,2020,DK,4
4,4,Brownie,2020,DK,5
5,5,Brød,2020,DK,6
6,6,Brætspil,2020,DK,7
7,7,Stofmundbind,2020,DK,8
8,8,Ishus,2020,DK,9
9,9,Robotplæneklipper,2020,DK,10
0,0,Michael jackson,2009,DO,1
1,1,Taringa,2009,DO,2
2,2,Facebook.com,2009,DO,3
3,3,Facebook,2009,DO,4
4,4,Blackberry,2009,DO,5
5,5,Traductor google,2009,DO,6
6,6,Juegos de mario,2009,DO,7
7,7,Youtube.com,2009,DO,8
8,8,Hotmail.com,2009,DO,9
9,9,Badoo,2009,DO,10
0,0,Michael jackson,2009,EC,1
1,1,Facebook,2009,EC,2
2,2,Hi5.com,2009,EC,3
3,3,Hotmail,2009,EC,4
4,4,Yahoo,2009,EC,5
5,5,Banco del pichincha,2009,EC,6
6,6,Youtube,2009,EC,7
7,7,Traductor,2009,EC,8
8,8,Godaddy coupon codes,2009,EC,9
9,9,Consejo nacional electoral,2009,EC,10
0,0,Cómo hacer pesto,2013,EC,1
1,1,Cómo hacer cupcakes,2013,EC,2
2,2,Cómo hacer trenzas,2013,EC,3
3,3,Cómo hacer crepes,2013,EC,4
4,4,Cómo hacer espumilla,2013,EC,5
5,5,Cómo hacer manillas,2013,EC,6
6,6,Cómo hacer vinchas,2013,EC,7
7,7,Cómo hacer cojines,2013,EC,8
8,8,Cómo hacer chimichurri,2013,EC,9
9,9,Cómo hacer memes,2013,EC,10
0,0,Paul Walker,2013,EE,1
1,1,Robbie Williams,2013,EE,2
2,2,Katrin Silman,2013,EE,3
3,3,Jackie Chan,2013,EE,4
4,4,Cory Monteith,2013,EE,5
5,5,Will Smith,2013,EE,6
6,6,Relika Roostalu,2013,EE,7
7,7,Kärt Krikmann,2013,EE,8
8,8,Meelis Kaldalu,2013,EE,9
9,9,Silvi Vrait,2013,EE,10
0,0,ID kaardi sertifikaatide uuendamine,2017,EE,1
1,1,iPhone 8,2017,EE,2
2,2,Valimistulemused,2017,EE,3
3,3,Palgakalkulaator,2017,EE,4
4,4,Politsei ja piirivalveamet,2017,EE,5
5,5,iPhone X,2017,EE,6
6,6,Fidget Spinner,2017,EE,7
7,7,Tuludeklaratsioon esitamine,2017,EE,8
8,8,Smart ID,2017,EE,9
9,9,Coop pank,2017,EE,10
0,0,Jalgpalli MM,2018,EE,1
1,1,Eurovisioon,2018,EE,2
2,2,Signe Lahtein,2018,EE,3
3,3,T1 kaubanduskeskus,2018,EE,4
4,4,Tuludeklaratsioon 2018,2018,EE,5
5,5,Weekend Festival,2018,EE,6
6,6,veetemperatuurid,2018,EE,7
7,7,palgakalkulaator,2018,EE,8
8,8,Nublu,2018,EE,9
9,9,Ironman Tallinn,2018,EE,10
0,0,Valimised 2019,2019,EE,1
1,1,Eurovisioon,2019,EE,2
2,2,Laulupidu,2019,EE,3
3,3,Rannamaja,2019,EE,4
4,4,Eesti Laul,2019,EE,5
5,5,Europarlamendi valimised,2019,EE,6
6,6,Berliini müüri langemine,2019,EE,7
7,7,Metallica,2019,EE,8
8,8,Kendama,2019,EE,9
9,9,Victor Crone,2019,EE,10
0,0,Terviseamet,2020,EE,1
1,1,Koroonaviirus,2020,EE,2
2,2,Stuudium,2020,EE,3
3,3,Google Classroom,2020,EE,4
4,4,Kobe Bryant,2020,EE,5
5,5,Zoom,2020,EE,6
6,6,Jaan Kross,2020,EE,7
7,7,US Election,2020,EE,8
8,8,Rally Estonia,2020,EE,9
9,9,Joe Biden,2020,EE,10
0,0,ثورة 25 يناير,2011,EG,1
1,1,ميدان التحرير,2011,EG,2
2,2,Face book فيس بوك,2011,EG,3
3,3,نكت 2011,2011,EG,4
4,4,اليوم السابع,2011,EG,5
5,5,محاكمة مبارك,2011,EG,6
6,6,تويتر,2011,EG,7
7,7,وزارة المالية,2011,EG,8
8,8,Google gravity,2011,EG,9
9,9,مسلسل العشق الممنوع,2011,EG,10
0,0,Ted Baker,2012,EG,1
1,1,Stella McCartney,2012,EG,2
2,2,Balmain,2012,EG,3
3,3,Jean Paul Gaultier,2012,EG,4
4,4,Michael Kors,2012,EG,5
5,5,Bershka,2012,EG,6
6,6,Marc Jacobs,2012,EG,7
7,7,Mulberry,2012,EG,8
8,8,Tom Ford,2012,EG,9
9,9,H&M,2012,EG,10
0,0,باسم يوسف,2013,EG,1
1,1,صافيناز,2013,EG,2
2,2,أحمد جمال,2013,EG,3
3,3,محمد عساف,2013,EG,4
4,4,عبد الفتاح السيسي,2013,EG,5
5,5,صفوت حجازي,2013,EG,6
6,6,زياد بهاء الدين,2013,EG,7
7,7,عدلي منصور,2013,EG,8
8,8,فرح يوسف,2013,EG,9
9,9,Paul Walker,2013,EG,10
0,0,انتخابات الرئاسة المصرية,2014,EG,1
1,1,كاس العالم 2014,2014,EG,2
2,2,رمضان 2014,2014,EG,3
3,3,نتائج الطلاب,2014,EG,4
4,4,حادث البحيرة,2014,EG,5
5,5,Robin Williams وفاة,2014,EG,6
6,6,الحد الادنى للاجور,2014,EG,7
7,7,الكارت الذكى للبنزين,2014,EG,8
8,8,محاكمة مبارك محاكمة القرن,2014,EG,9
9,9,محور قناة السويس,2014,EG,10
0,0,مهرجان مفيش صاحب يتصاحب,2015,EG,1
1,1,رامز واكل الجو,2015,EG,2
2,2,اغنية انت معلم,2015,EG,3
3,3,تنسيق الثانوية العامة,2015,EG,4
4,4,ميرنا المهندس,2015,EG,5
5,5,مسلسل من النظرة الثانية,2015,EG,6
6,6,كليب سيب ايدي,2015,EG,7
7,7,فيلم كابتن مصر,2015,EG,8
8,8,ثعبان قناة السويس,2015,EG,9
9,9,نور الشريف,2015,EG,10
0,0,نتيجة الثانوية العامة 2016,2016,EG,1
1,1,سعر الدولار,2016,EG,2
2,2,مسلسل الاسطورة,2016,EG,3
3,3,الألعاب الأولمبية 2016 في ريو دي جانيرو,2016,EG,4
4,4,Pokemon Go,2016,EG,5
5,5,مهرجانات 2016,2016,EG,6
6,6,محمود عبد العزيز,2016,EG,7
7,7,فرح ايمى سمير غانم,2016,EG,8
8,8,قانون الخدمة المدنية,2016,EG,9
9,9,رمضان 2016,2016,EG,10
0,0,نتيجة الثانوية العامة 2018,2018,EG,1
1,1,ليفربول,2018,EG,2
2,2,دعم مصر,2018,EG,3
3,3,مسلسل نسر الصعيد,2018,EG,4
4,4,معرفة اللجنة الانتخابية,2018,EG,5
5,5,جمال خاشقجي,2018,EG,6
6,6,أوقات الصلاة,2018,EG,7
7,7,رمضان 2018,2018,EG,8
8,8,نتيجه دبلوم الصنايع,2018,EG,9
9,9,المعلمون اولا,2018,EG,10
0,0,مباريات الدوري المصري,2019,EG,1
1,1,نتيجة الثانوية العامة,2019,EG,2
2,2,الأهلي ضد الهلال,2019,EG,3
3,3,محمد علي,2019,EG,4
4,4,كأس الأمم الأفريقية,2019,EG,5
5,5,مسلسل زلزال,2019,EG,6
6,6,الهيئة الوطنية للانتخابات,2019,EG,7
7,7,اغنية مافيا,2019,EG,8
8,8,عمرو وردة,2019,EG,9
9,9,thanos,2019,EG,10
0,0,نصيحة عن فيروس كورونا,2020,EG,1
1,1,كيف اتمرن في المنزل,2020,EG,2
2,2,كيفية كتابة السيرة الذاتية,2020,EG,3
3,3,أفكارعشاء صحي سريع,2020,EG,4
4,4,نصائح للحفاظ على البيئة,2020,EG,5
5,5,مقدمة بحث,2020,EG,6
6,6,كيفية صلاة العيد,2020,EG,7
7,7,طريقة عمل الكنافة,2020,EG,8
8,8,تحديد اتجاه القِبلة,2020,EG,9
9,9,كيف ارسم للمبتدئين,2020,EG,10
0,0,El Blog Salmon,2008,ES,1
1,1,Blog Leopoldo Abadia,2008,ES,2
2,2,El Blog De Lobato,2008,ES,3
3,3,El Blog De Risto Mejide,2008,ES,4
4,4,El Blog De Banyeres,2008,ES,5
5,5,El Blog De Bibiana Aido,2008,ES,6
6,6,Xakata Blog,2008,ES,7
7,7,Blog De Andaya,2008,ES,8
8,8,El Blog De Trecet,2008,ES,9
9,9,Blog De Eva Se Desnuda,2008,ES,10
0,0,Facebook,2009,ES,1
1,1,Series Yonkis,2009,ES,2
2,2,Taringa,2009,ES,3
3,3,Traductor de Google,2009,ES,4
4,4,Tuenti,2009,ES,5
5,5,Megaupload,2009,ES,6
6,6,Lady Gaga,2009,ES,7
7,7,Malviviendo,2009,ES,8
8,8,Windows 7,2009,ES,9
9,9,Antena 3 videos,2009,ES,10
0,0,Elecciones 2011,2011,ES,1
1,1,Bankia,2011,ES,2
2,2,Atrapa Un Millón,2011,ES,3
3,3,Whatsapp,2011,ES,4
4,4,Dieta Dukan,2011,ES,5
5,5,Juego De Tronos,2011,ES,6
6,6,iPhone5,2011,ES,7
7,7,Supervivientes 2011,2011,ES,8
8,8,El Barco,2011,ES,9
9,9,Gadafi,2011,ES,10
0,0,Bankia,2012,ES,1
1,1,Mi Tele,2012,ES,2
2,2,Prima de Riesgo,2012,ES,3
3,3,Gran Hermano 12+1,2012,ES,4
4,4,Lo Imposible,2012,ES,5
5,5,Apalabrados,2012,ES,6
6,6,Reforma laboral 2012,2012,ES,7
7,7,Felix Baumgartner,2012,ES,8
8,8,Gangnam Style,2012,ES,9
9,9,Sepe,2012,ES,10
0,0,Cómo pagar Whatsapp,2013,ES,1
1,1,Cómo hacer fofuchas,2013,ES,2
2,2,Cómo funciona Line,2013,ES,3
3,3,Cómo ahorrar luz,2013,ES,4
4,4,Cómo instalar Vshare,2013,ES,5
5,5,Cómo ganar a apalabrados,2013,ES,6
6,6,Cómo murió Houdini,2013,ES,7
7,7,Cómo tener labia,2013,ES,8
8,8,Cómo coser camisetas,2013,ES,9
9,9,Cómo hacer trapillo,2013,ES,10
0,0,Gran Hermano 15,2014,ES,1
1,1,Mundial 2014,2014,ES,2
2,2,La Voz Kids,2014,ES,3
3,3,Ébola,2014,ES,4
4,4,iPhone 6,2014,ES,5
5,5,Tito Vilanova,2014,ES,6
6,6,Supervivientes,2014,ES,7
7,7,Robin Williams,2014,ES,8
8,8,Eurovision 2014,2014,ES,9
9,9,Adolfo Suárez,2014,ES,10
0,0,Gran Hermano 16,2015,ES,1
1,1,Eurovisión,2015,ES,2
2,2,Supervivientes,2015,ES,3
3,3,Elecciones,2015,ES,4
4,4,La Voz,2015,ES,5
5,5,París,2015,ES,6
6,6,Charlie Hebdo,2015,ES,7
7,7,Eurobasket,2015,ES,8
8,8,Jurassic World,2015,ES,9
9,9,Elecciones Municipales,2015,ES,10
0,0,Juegos Olímpicos Río 2016,2016,ES,1
1,1,Eurocopa 2016,2016,ES,2
2,2,Pokemon go,2016,ES,3
3,3,iPhone 7,2016,ES,4
4,4,Elecciones EEUU,2016,ES,5
5,5,Donald Trump,2016,ES,6
6,6,Diana Quer,2016,ES,7
7,7,Eurovision 2016,2016,ES,8
8,8,David Bowie,2016,ES,9
9,9,La Veneno,2016,ES,10
0,0,Eurovisión,2017,ES,1
1,1,HBO,2017,ES,2
2,2,Oscars,2017,ES,3
3,3,Supervivientes,2017,ES,4
4,4,La Sexta Directo,2017,ES,5
5,5,13 Reasons Why,2017,ES,6
6,6,La Casa de Papel,2017,ES,7
7,7,La Voz Kids,2017,ES,8
8,8,GH Revolution,2017,ES,9
9,9,TV3 Directo,2017,ES,10
0,0,Mundial,2018,ES,1
1,1,Cristina Cifuentes,2018,ES,2
2,2,Fortnite,2018,ES,3
3,3,Bohemian Rhapsody,2018,ES,4
4,4,Cómeme el donut,2018,ES,5
5,5,Moción de censura,2018,ES,6
6,6,Fariña,2018,ES,7
7,7,Cambio de horario 2018,2018,ES,8
8,8,Huelga 8 de marzo 2018,2018,ES,9
9,9,Sentencia La Manada,2018,ES,10
0,0,Elecciones generales,2019,ES,1
1,1,Notre Dame,2019,ES,2
2,2,La caída del Muro de Berlín,2019,ES,3
3,3,Elecciones municipales,2019,ES,4
4,4,Black Friday,2019,ES,5
5,5,Lotería del Niño,2019,ES,6
6,6,Vox,2019,ES,7
7,7,Metro de Madrid,2019,ES,8
8,8,Listeriosis,2019,ES,9
9,9,Boda Sergio Ramos,2019,ES,10
0,0,coronavirus,2020,ES,1
1,1,elecciones eeuu,2020,ES,2
2,2,classroom,2020,ES,3
3,3,la liga,2020,ES,4
4,4,Kobe Bryant,2020,ES,5
5,5,tigre,2020,ES,6
6,6,zoom,2020,ES,7
7,7,nba,2020,ES,8
8,8,champions,2020,ES,9
9,9,tiburón,2020,ES,10
0,0,YouTube,2008,FI,1
1,1,IRC,2008,FI,2
2,2,Iltalehti,2008,FI,3
3,3,Iltasanomat,2008,FI,4
4,4,You,2008,FI,5
5,5,Suomi24,2008,FI,6
6,6,Wikipedia,2008,FI,7
7,7,Google,2008,FI,8
8,8,Facebook,2008,FI,9
9,9,Sanakirja,2008,FI,10
0,0,Gosu,2009,FI,1
1,1,Ruutu,2009,FI,2
2,2,Spotify,2009,FI,3
3,3,Ilmatieteen laitos,2009,FI,4
4,4,Fb,2009,FI,5
5,5,Twitter,2009,FI,6
6,6,S-pankki verkkopankki,2009,FI,7
7,7,Iltasanomat uutiset,2009,FI,8
8,8,Kuorosota,2009,FI,9
9,9,Jippii webmail,2009,FI,10
0,0,Vaalikone,2011,FI,1
1,1,Google+,2011,FI,2
2,2,Munamies,2011,FI,3
3,3,Ylilauta,2011,FI,4
4,4,Feissarimokat,2011,FI,5
5,5,Iina Kuustonen,2011,FI,6
6,6,Saana Uimonen,2011,FI,7
7,7,Saana Parviainen,2011,FI,8
8,8,Angry Birds,2011,FI,9
9,9,Japanin Tsunami,2011,FI,10
0,0,Mango Tuorejuustokakku,2012,FI,1
1,1,Macaroons,2012,FI,2
2,2,Kaura Omenapaistos,2012,FI,3
3,3,Cupcake Resepti,2012,FI,4
4,4,Raparperipiirakka,2012,FI,5
5,5,Juustokakku Uunissa,2012,FI,6
6,6,Lime Juustokakku,2012,FI,7
7,7,Mustikkajuustokakku,2012,FI,8
8,8,Voisilmäpulla,2012,FI,9
9,9,Pavlova,2012,FI,10
0,0,Paul Walker,2013,FI,1
1,1,Andy McCoy,2013,FI,2
2,2,Marianne Kallio,2013,FI,3
3,3,Sini Sabotage,2013,FI,4
4,4,Isac Elliot,2013,FI,5
5,5,Krista Siegfrids,2013,FI,6
6,6,Pekka Hyysalo,2013,FI,7
7,7,Cory Monteith,2013,FI,8
8,8,Frederik,2013,FI,9
9,9,Susanna Indren,2013,FI,10
0,0,American Hustle,2014,FI,1
1,1,Mielensäpahoittaja,2014,FI,2
2,2,Leijonasydän,2014,FI,3
3,3,Kesäkaverit,2014,FI,4
4,4,Vadelmavenepakolainen,2014,FI,5
5,5,Dallas Buyers Club,2014,FI,6
6,6,Ei Kiitos,2014,FI,7
7,7,22 Jump Street,2014,FI,8
8,8,Lego,2014,FI,9
9,9,Tummien Perhosten Koti,2014,FI,10
0,0,Fifty Shades of Grey,2015,FI,1
1,1,Jurassic World,2015,FI,2
2,2,Fast and Furious 7,2015,FI,3
3,3,Big Game,2015,FI,4
4,4,Luokkakokous,2015,FI,5
5,5,Napapiirin sankarit 2,2015,FI,6
6,6,Birdman,2015,FI,7
7,7,Mad Max,2015,FI,8
8,8,American Sniper,2015,FI,9
9,9,Spectre,2015,FI,10
0,0,Saara Aalto,2016,FI,1
1,1,David Bowie,2016,FI,2
2,2,Donald Trump,2016,FI,3
3,3,Axl Smith,2016,FI,4
4,4,Patrik Laine,2016,FI,5
5,5,Mikael Gabriel,2016,FI,6
6,6,Prince,2016,FI,7
7,7,Sebastian Aho,2016,FI,8
8,8,Jesse Puljujärvi,2016,FI,9
9,9,Suvi Teräsniska,2016,FI,10
0,0,Mauno Koivisto,2017,FI,1
1,1,Alma,2017,FI,2
2,2,Jari Sillanpää,2017,FI,3
3,3,Sauli Niinistö,2017,FI,4
4,4,Chris Cornell,2017,FI,5
5,5,Jenni Haukio,2017,FI,6
6,6,Chester Bennington,2017,FI,7
7,7,Lauri Markkanen,2017,FI,8
8,8,Samu Haber,2017,FI,9
9,9,Nelli Matula,2017,FI,10
0,0,Presidentinvaalit,2018,FI,1
1,1,Airiston helmi,2018,FI,2
2,2,Tuhkarokkko,2018,FI,3
3,3,Kuunpimennys,2018,FI,4
4,4,Kansalaisaloite,2018,FI,5
5,5,Aktiivimalli,2018,FI,6
6,6,GDPR,2018,FI,7
7,7,Kalastajatorppa,2018,FI,8
8,8,Oodi,2018,FI,9
9,9,Liike Nyt!,2018,FI,10
0,0,Tripla,2019,FI,1
1,1,Ideapark Seinäjoki,2019,FI,2
2,2,Muji,2019,FI,3
3,3,Kurtturuusu,2019,FI,4
4,4,Curly girl metodi,2019,FI,5
5,5,Uunifetapasta,2019,FI,6
6,6,Lumenpudotin,2019,FI,7
7,7,Hulavanne,2019,FI,8
8,8,Sähköpotkulauta,2019,FI,9
9,9,Amos Rex,2019,FI,10
0,0,Koronavirus,2020,FI,1
1,1,USA vaalit,2020,FI,2
2,2,THL,2020,FI,3
3,3,CNN,2020,FI,4
4,4,Koronavirus oireet,2020,FI,5
5,5,Trump vs Biden,2020,FI,6
6,6,Janita Lukkarinen,2020,FI,7
7,7,Koronavilkku,2020,FI,8
8,8,Kobe Bryant,2020,FI,9
9,9,Meet,2020,FI,10
0,0,OM,2008,FR,1
1,1,PSG,2008,FR,2
2,2,FFF,2008,FR,3
3,3,OL,2008,FR,4
4,4,Euro 2008,2008,FR,5
5,5,Tour de France,2008,FR,6
6,6,FFT,2008,FR,7
7,7,FFBB,2008,FR,8
8,8,Stade Toulousain,2008,FR,9
9,9,Pekin 2008,2008,FR,10
0,0,Twilight,2009,FR,1
1,1,Michael jackson,2009,FR,2
2,2,Facebook,2009,FR,3
3,3,Allostreaming,2009,FR,4
4,4,Wat,2009,FR,5
5,5,Programme tnt,2009,FR,6
6,6,Naruto shippuden,2009,FR,7
7,7,Streaming,2009,FR,8
8,8,M6 replay,2009,FR,9
9,9,One piece,2009,FR,10
0,0,Dsk,2011,FR,1
1,1,Alexandra Stan,2011,FR,2
2,2,Pippa Middleton,2011,FR,3
3,3,Amy Winehouse,2011,FR,4
4,4,Ayem,2011,FR,5
5,5,Tristane Banon,2011,FR,6
6,6,Nafissatou Diallo,2011,FR,7
7,7,Hugo Tout Seul,2011,FR,8
8,8,Marie-France Pisier,2011,FR,9
9,9,Norman,2011,FR,10
0,0,Gangnam Style,2012,FR,1
1,1,Call Me Maybe,2012,FR,2
2,2,Wati House,2012,FR,3
3,3,Payphone,2012,FR,4
4,4,Bara Bara Bere Bere,2012,FR,5
5,5,Juste Un Instant,2012,FR,6
6,6,Rayos De Sol,2012,FR,7
7,7,Party Shaker,2012,FR,8
8,8,Parler À Mon Père,2012,FR,9
9,9,Pound The Alarm,2012,FR,10
0,0,Michael Kors,2013,FR,1
1,1,Marc Jacobs,2013,FR,2
2,2,Victoria Beckham,2013,FR,3
3,3,Yves Saint Laurent,2013,FR,4
4,4,Stella McCartney,2013,FR,5
5,5,Paco Rabanne,2013,FR,6
6,6,Rick Owens,2013,FR,7
7,7,Jenny Packham,2013,FR,8
8,8,Phillip Lim,2013,FR,9
9,9,Riccardo Tisci,2013,FR,10
0,0,Julie Gayet,2014,FR,1
1,1,Robin Williams,2014,FR,2
2,2,Jennifer Lawrence,2014,FR,3
3,3,Philip Seymour Hoffman,2014,FR,4
4,4,Ingrid Chauvin,2014,FR,5
5,5,Thierry Neuvic,2014,FR,6
6,6,Thierry Redler,2014,FR,7
7,7,Paul Walker,2014,FR,8
8,8,Ellen Page,2014,FR,9
9,9,Joan Rivers,2014,FR,10
0,0,Charlie Hebdo,2015,FR,1
1,1,Attentats Paris,2015,FR,2
2,2,Tour de France,2015,FR,3
3,3,50 nuances de Grey,2015,FR,4
4,4,Claire Chazal,2015,FR,5
5,5,Eclipse,2015,FR,6
6,6,Accident d'hélicoptère en Argentine,2015,FR,7
7,7,Jurassic world,2015,FR,8
8,8,Coupe du monde Rugby,2015,FR,9
9,9,COP21,2015,FR,10
0,0,Euro 2016,2016,FR,1
1,1,Pokemon go,2016,FR,2
2,2,Tour de france 2016,2016,FR,3
3,3,Les jeux olympiques  2016,2016,FR,4
4,4,Les élections américaines,2016,FR,5
5,5,David Bowie,2016,FR,6
6,6,L'attentat de Nice,2016,FR,7
7,7,Le Vendée Globe,2016,FR,8
8,8,La primaire de la droite et du centre,2016,FR,9
9,9,Prince,2016,FR,10
0,0,Johnny Hallyday,2017,FR,1
1,1,Maëlys,2017,FR,2
2,2,Sondage élection présidentielle,2017,FR,3
3,3,Primaire gauche,2017,FR,4
4,4,Ouragan Irma,2017,FR,5
